feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12
103,17.806160937889825,A,170,99.73679221730147,C,942,12.188300007588316,B,900,16.776730782967235,C
436,10.468428906347878,A,340,75.88451004769853,A,61,46.65106655333222,A,643,82.13471600517248,A
861,42.49448126976344,B,169,73.74587626978139,C,872,1.19049351142337,A,478,61.58230903738042,A
271,12.216660835428502,B,815,7.33677740040184,B,117,76.31507157523147,A,23,48.77429843216827,A
107,18.01934321498333,C,538,40.47180753071696,A,590,75.21900500768308,A,37,36.662981914462875,C
72,55.185143749609125,D,692,9.531126965051163,B,236,55.63967228855811,B,18,51.24187235446536,C
701,17.295328096257897,B,472,36.742663674095034,A,33,75.01428043929971,D,867,54.47474240129287,C
21,7.324096975659382,B,662,57.47806988136116,B,567,62.828297707720104,C,773,24.461505920799002,B
615,32.42149615276064,B,645,88.00834664730492,A,243,70.04807594955066,D,553,98.886701672018,C
122,22.811590763574785,D,143,29.01083556645519,C,786,7.40092758161492,C,860,91.04521816264251,A
467,52.0152136114433,C,676,62.71805059574518,D,908,88.24528039606541,C,934,39.68899806562966,A
215,11.134341373737723,A,101,17.30054031213576,B,74,64.74919479917646,B,943,26.148136881124685,B
331,75.42530798061483,D,575,36.04242183728019,B,21,61.45245070758425,C,891,31.397492479800945,D
459,90.71711842407872,B,605,94.77651004839694,D,865,39.336855392813284,B,338,98.03661250134684,B
88,74.60008222166324,B,719,75.01645064269043,A,974,3.785405835759164,D,72,41.29939077099208,A
373,53.74987670273803,C,475,55.03477065453,C,713,90.24471164966036,A,652,91.28107992587957,A
100,86.20611435709962,C,945,25.91798311646,C,154,98.58085746368593,D,926,6.84334480591991,C
872,69.79691959836924,C,311,38.590817041744984,C,254,80.97087772333504,D,726,77.90283858985669,B
664,2.0445611225687954,A,584,16.512640051398932,A,207,91.58887719788179,B,518,76.45046767352513,C
131,40.014925124675806,D,60,35.99325211660903,B,149,12.974786903120977,B,445,65.44767333194544,D
